"Key","en","hi","bn","gu","ml","mr","ta","te","ur"
"add-transaction","Add Transaction","लेनदेन जोड़ें","লেনদেন যোগ করুন","વ્યવહાર ઉમેરો","ഇടപാട് ചേർക്കുക","व्यवहार जोडा","பரிவர்த்தனையை சேர்க்க","లావాదేవీని జోడించండి","لین دین شامل کریں"
"add-account","Add Account","खाता जोड़ें","হিসাব যোগ করা","ખાતું ઉમેરો","അക്കൗണ്ട് ചേർക്കുക","खाते जोडा","கணக்கு சேர்க்க","ఖాతా జోడించండి","اکاؤنٹ کا اضافہ"
"add-category","Add Category","श्रेणी जोड़ें","বিভাগ যোগ করুন","શ્રેણી ઉમેરો","വിഭാഗം ചേർക്കുക","श्रेणी जोडा","வகையைச் சேர்க்கவும்","వర్గాన్ని జోడించండి","زمرہ شامل کریں"
"add-title","Add Title","शीर्षक जोडें","শিরোনাম যোগ করুন","શીર્ષક ઉમેરો","തലക്കെട്ട് ചേര്ക്കുക","शीर्षक द्या","தலைப்பை சேர்க்கவும்","శీర్షిక జోడించండి","عنوان شامل کریں"
"add-budget","Add Budget","बजट जोड़ें","বাজেট যুক্ত করুন","બજેટ ઉમેરો","ബജറ്റ് ചേർക്കുക","अर्थसंकल्प जोडा","பட்ஜெட்டைச் சேர்க்கவும்","బడ్జెట్‌ను జోడించండి","بجٹ شامل کریں"
"title-placeholder","Title","शीर्षक","শিরোনাম","શીર્ષક","തലക്കെട്ട്","शीर्षक","தலைப்பு","శీర్షిక","عنوان"
"name-placeholder","Name","नाम","নাম","નામ","പേര്","नाव","பெயர்","పేరు","نام"
"enter-name","Enter Name","नाम दर्ज करें","নাম লিখুন","નામ દાખલ કરો","പേര് നൽകുക","नाव प्रविष्ट करा","பெயரை உள்ளிடுக","పేరు నమోదు చేయండి","نام درج کریں"
"nickname-placeholder","Nickname","उपनाम","ডাকনাম","ઉપનામ","വിളിപ്പേര്","टोपणनाव","புனைப்பெயர்","మారుపేరు","عرفی نام"
"notes-placeholder","Notes","टिप्पणियाँ","মন্তব্য","નોંધ","കുറിപ്പുകൾ","नोट्स","குறிப்புகள்","గమనికలు","نوٹ"
"view-more","View More","और देखें","আরো দেখুন","વધુ જોવો","കൂടുതൽ കാണു","अधिक प i हा","மேலும் பார்க்க","మరిన్ని చూడండి","مزید دیکھیں"
"view-all-transactions","View All Transactions","सभी लेनदेन देखें","সমস্ত লেনদেন দেখুন","બધા વ્યવહારો જુઓ","എല്ലാ ഇടപാടുകളും കാണുക","सर्व व्यवहार पहा","அனைத்து பரிவர்த்தனைகளையும் காண்க","అన్ని లావాదేవీలను చూడండి","تمام لین دین دیکھیں"
"expense","Expense","व्यय","ব্যয়","ખર્ચ","ചെലവ്","खर्च","செலவு","ఖర్చు","خرچہ"
"income","Income","आय","আয়","આવક","വരുമാനം","उत्पन्न","வருமானம்","ఆదాయం","آمدنی"
"notifications-disabled","Notifications Disabled","सूचनाएं अक्षम हैं","বিজ্ঞপ্তি অক্ষম","સૂચનાઓ અક્ષમ કરેલ","അറിയിപ്പുകൾ അപ്രാപ്തമാക്കി","सूचना अक्षम","அறிவிப்புகள் முடக்கப்பட்டன","నోటిఫికేషన్‌లు నిలిపివేయబడ్డాయి","اطلاعات غیر فعال"
"notifications-disabled-description","Tap here to enable notifications in your device's settings page","फोन के सेटिंग पेज में सूचनाओं को सक्षम करने के लिए यहां टैप करें","ফোনের সেটিংস পৃষ্ঠায় বিজ্ঞপ্তিগুলি সক্ষম করতে এখানে আলতো চাপুন","ફોનના સેટિંગ્સ પૃષ્ઠમાં સૂચનાઓ સક્ષમ કરવા માટે અહીં ટેપ કરો","ഫോണിന്റെ ക്രമീകരണ പേജിലെ അറിയിപ്പുകൾ പ്രാപ്തമാക്കുന്നതിന് ഇവിടെ ടാപ്പുചെയ്യുക","फोनच्या सेटिंग्ज पृष्ठावरील सूचना सक्षम करण्यासाठी येथे टॅप करा","தொலைபேசியின் அமைப்புப் பக்கத்தில் அறிவிப்புகளை இயக்க இங்கே தட்டவும்","ఫోన్ సెట్టింగుల పేజీలో నోటిఫికేషన్‌లను ప్రారంభించడానికి ఇక్కడ నొక్కండి","فون کے ترتیبات کے صفحے میں اطلاعات کو فعال کرنے کے لئے یہاں ٹیپ کریں"
"greetings-general-1","Hello","नमस्ते","হ্যালো","નમસ્તે","ഹലോ","नमस्कार","வணக்கம்","హలో","ہیلو"
"greetings-general-2","Hi there","नमस्ते","হাই আছে","કેમ છો","ഹേയ്, അവിടെയുണ്ടോ","नमस्कार","ஹாய்","హాయ్","ہیلو وہاں"
"greetings-general-3","Hi","नमस्ते","ওহে","કેમ છો","ധികം","हाय","வணக்கம்","హాయ్","ہائے"
"greetings-general-4","How are you","आप कैसे हैं","আপনি কেমন আছেন","તમે કેમ છો","സുഖമാണോ","तू कसा आहेस","எப்படி இருக்கிறீர்கள்","మీరు ఎలా ఉన్నారు","آپ کیسے ہو"
"greetings-general-5","What's up","क्या चल रहा है","কি খবর","શું ચાલે","എന്തുണ്ട് വിശേഷം","काय चालले आहे","என்ன விஷயம்","ఏమిటి సంగతులు","کیا چل رہا ہے"
"greetings-general-6","Hello there","नमस्ते","হ্যালো","કેમ છો","നീ അവിടെയുണ്ടോ","नमस्कार","வணக்கம்","ఉన్నారా","سنو ذرا"
"greetings-general-7","Hope all is well","उम्मीद है कि सबकुछ ठीक होगा","আশা করি সব ঠিক আছে","આશા રાખું છું બધું સારું છે","എല്ലാം നന്നായിരിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു","आशा आहे सर्व काही ठीक आहे","அனைத்து நன்றாக இருக்கும் என்று நினைக்கிறேன்","అంతా బాగుండాలని ఆశిస్తున్నా","سب کچھ ٹھیک ہے امید ہے"
"greetings-morning-1","Good morning","शुभ प्रभात","সুপ্রভাত","સુપ્રભાત","സുപ്രഭാതം","शुभ प्रभात","காலை வணக்கம்","శుభోదయం","صبح بخیر"
"greetings-morning-2","Good day","आपका दिन शुभ हो","শুভ দিন","શુભ દિવસ ","ശുഭദിനം","शुभ दिवस","சிறந்த நாள்","మంచి రోజు","اچھا دن"
"greetings-afternoon-1","Good afternoon","नमस्कार","শুভ অপরাহ্ন","શુભ બપોર","ഗുഡ് ആഫ്റ്റർനൂൺ","शुभ दुपार","மதிய வணக்கம்","శుభ మద్యాహ్నం","صبح بخیر"
"greetings-afternoon-2","Good day","आपका दिन शुभ हो","শুভ দিন","શુભ દિવસ","ശുഭദിനം","शुभ दिवस","சிறந்த நாள்","మంచి రోజు","اچھا دن"
"greetings-evening-1","Good evening","नमस्ते","শুভ সন্ধ্যা","શુભ સંધ્યા","ഗുഡ് ഈവനിംഗ്","शुभ संध्या","மாலை வணக்கம்","శుభ సాయంత్రం","شام بخیر"
"greetings-late-1","Good night","शुभ रात्रि","শুভ রাত্রি","શુભ રાત્રી","ശുഭ രാത്രി","शुभ रात्री","இனிய இரவு","శుభ రాత్రి","شب بخیر"
"greetings-late-2","Get some rest","अच्छी नींद लेना","কিছুক্ষণ বিশ্রাম নাও","થોડો આરામ કરી લો","കുറച്ചു വിശ്രമിക്ക്","थोडा विश्रांती घ्या","கொஞ்சம் ஓய்வு பெறுங்கள்","కొంచెము విశ్రాంతి తీసుకో","کچھ آرام کر لو"
"all-spending","All Spending","सभी खर्च","সমস্ত ব্যয়","બધા ખર્ચ","എല്ലാ ചെലവുകളും","सर्व खर्च","அனைத்து செலவினங்களும்","అన్ని ఖర్చు","تمام اخراجات"
"edit-data","Edit Data","डेटा संपादित करें","সম্পাদনা তথ্য","ડેટા સંપાદિત કરો","ഡാറ്റ എഡിറ്റുചെയ്യുക","डेटा संपादित करा","தரவைத் திருத்தவும்","డేటాను సవరించండి","ڈیٹا میں ترمیم کریں"
"account-details","Account Details","खाता विवरण","বিস্তারিত হিসাব","ખાતાની માહિતી","അക്കൗണ്ട് വിശദാംശങ്ങൾ","खाते तपशील","கணக்கு விவரங்கள்","ఖాతా వివరాలు","اکاؤنٹ کی تفصیلات"
"budgets-details","Budgets Details","बजट विवरण","বাজেটের বিশদ","અંદાજપત્રની વિગતો","ബജറ്റുകൾ വിശദാംശങ്ങൾ","बजेट तपशील","பட்ஜெட் விவரங்கள்","బడ్జెట్ల వివరాలు","بجٹ کی تفصیلات"
"categories-details","Categories Details","श्रेणियां विवरण","বিভাগের বিশদ","શ્રેણીઓની વિગતો","വിഭാഗങ്ങളുടെ വിശദാംശങ്ങൾ","श्रेणी तपशील","வகை விவரங்கள்","వర్గాల వివరాలు","زمرے کی تفصیلات"
"titles-details","Titles Details","शीर्षक विवरण","শিরোনাম বিশদ","શીર્ષકની વિગતો","ശീർഷക വിശദാംശങ്ങൾ","शीर्षक तपशील","தலைப்புகள் விவரங்கள்","శీర్షికల వివరాలు","عنوانات کی تفصیلات"
"edit-accounts","Edit Accounts","खाते संपादित करें","অ্যাকাউন্ট সম্পাদনা করুন","ખાતું સંપાદિત કરો","അക്കൗണ്ടുകൾ എഡിറ്റുചെയ്യുക","खाती संपादित करा","கணக்குகளைத் திருத்து","ఖాతాలను సవరించండి","اکاؤنٹس میں ترمیم کریں"
"edit-budgets","Edit Budgets","बजट संपादित करें","বাজেট সম্পাদনা করুন","અંદાજપત્ર સંપાદિત કરો","ബജറ്റുകൾ എഡിറ്റുചെയ്യുക","बजेट संपादित करा","பட்ஜெட்கலைத் திருத்து","బడ్జెట్లను సవరించండి","بجٹ میں ترمیم کریں"
"edit-categories","Edit Categories","श्रेणियां संपादित करें","বিভাগগুলি সম্পাদনা করুন","શ્રેણીઓ સંપાદિત કરો","വിഭാഗങ്ങൾ എഡിറ്റുചെയ്യുക","श्रेणी संपादित करा","வகைகளைத் திருத்து","వర్గాలను సవరించండి","زمرے میں ترمیم کریں"
"edit-titles","Edit Titles","शीर्षक संपादित करें","শিরোনাম সম্পাদনা করুন","શીર્ષકો સંપાદિત કરો","ശീർഷകങ്ങൾ എഡിറ്റുചെയ്യുക","शीर्षके संपादित करा","தலைப்புகளைத் திருத்து","శీర్షికలను సవరించండి","عنوانات میں ترمیم کریں"
"edit-title","Edit Title","शीर्षक संपादित करें","শিরোনাম সম্পাদনা","શીર્ષક સંપાદિત કરો","ശീർഷകം എഡിറ്റുചെയ്യുക","शीर्षक संपादित करा","தலைப்பைத் திருத்து","శీర్షికను సవరించండి","عنوان میں ترمیم کریں"
"select-categories-to-watch","Select Categories to Watch","देखने के लिए श्रेणियों का चयन करें","দেখার জন্য বিভাগগুলি নির্বাচন করুন","જોવા માટે શ્રેણીઓ પસંદ કરો","കാണുന്നതിന് വിഭാഗങ്ങൾ തിരഞ്ഞെടുക്കുക","पाहण्यासाठी श्रेणी निवडा","பார்க்க வகைகளைத் தேர்ந்தெடுக்கவும்","చూడటానికి వర్గాలను ఎంచుకోండి","دیکھنے کے لئے زمرے منتخب کریں"
"watch-categories","Watch Categories","श्रेणियां देखें","বিভাগ দেখুন","શ્રેણીઓ જુઓ","കാറ്റുകളെ കാണുക","श्रेणी पहा","வகைகளைப் பாருங்கள்","వర్గాలను చూడండి","زمرے دیکھیں"
"upcoming","Upcoming","आगामी","আসন্ন","આગામી","വരാനിരിക്കുന്ന","आगामी","வரவிருக்கும்","రాబోయే","آنے والا"
"overdue","Overdue","अतिदेय","অতিরিক্ত","મુદત વિતી ગયેલ","അവധികഴിഞ്ഞ","थकीत","தாமதமானது","మీరిన","واجب الادا"
"lent","Lent","उधार दिया","ধার","ધીરેલ","നോമ്പൻ","लेंट","கடன்","లెంట్","لینٹ"
"borrowed","Borrowed","उधार","ধার করা","ઉધાર લીધેલ","കടമെടുത്തു","कर्ज घेतले","கடன் வாங்கிய","అరువు","ادھار لیا"
"all","All","सभी","সব","તમામ","എല്ലാം","सर्व","அனைத்தும்","అన్నీ","سب"
"no-transactions-within-time-range","No transactions within time range","इस समय सीमा के भीतर कोई लेनदेन नहीं","সময়সীমার মধ্যে কোনও লেনদেন নেই","આ સમય-શ્રેણીમાં કોઈ વ્યવહારો નથી","സമയ ശ്രേണിയിൽ ഇടപാടുകളൊന്നുമില്ല","वेळेत कोणतेही व्यवहार नाहीत","நேர வரம்பிற்குள் பரிவர்த்தனைகள் இல்லை","సమయ పరిధిలో లావాదేవీలు లేవు","وقت کی حد میں کوئی لین دین نہیں"
"total-cash-flow","Total cash flow","कुल नकदी प्रवाह","মোট নগদ প্রবাহ","કુલ રોકડ પ્રવાહ","മൊത്തം പണമൊഴുക്ക്","एकूण रोख प्रवाह","மொத்த பணப்புழக்கம்","మొత్తం నగదు ప్రవాహం","کل نقد بہاؤ"
"today","Today","आज","আজ","આજે","ഇന്നേദിവസം","आज","இன்று","ఈ రోజు","آج"
"yesterday","Yesterday","कल","গতকাল","ગઇકાલે","തലേനാള്","काल","நேற்று","నిన్న","کل"
"tomorrow","Tomorrow","आने वाला कल","আগামীকাল","આવતીકાલે","അടുത്തദിവസം","उद्या","நாளை","రేపు","کل"
"remaining-amount-of","left of","बचा हुआ","বাকি","રહ્યાં, આટલા માંથી","ശേഷിക്കുന്നു","उर्वरित","மீதமுள்ள","మిగిలి ఉంది","باقی"
"spent-amount-of","spent of","खर्च हो गए","ব্যয়","ખર્ચ્યા , આટલા માંથી","ചെലവഴിച്ചു","चा खर्च","செலவழித்தது","ఖర్చు","خرچ کیا"
"overspent-amount-of","overspent of","ज्यादा खर्च हो गए","ওভারস্পেন্ট","વધુ ખર્ચ કર્યો, આનાથી","ന്റെ അമിതവൽക്കരണം","च्या ओव्हरस्पेंट","அதிகப்படியான","అధికంగా","اوورپینٹ"
"onboarding-title-1","Track your spending habits with {app}!","{ऐप} के साथ अपनी खर्च करने की आदतों को ट्रैक करें!","{অ্যাপ্লিকেশন} দিয়ে আপনার ব্যয়ের অভ্যাসগুলি ট্র্যাক করুন!","{app} ની મદદથી તમારા ખર્ચની આદતો પર નજર રાખો!","{അപ്ലിക്കേഷൻ} ഉപയോഗിച്ച് നിങ്ങളുടെ ചെലവ് ശീലങ്ങൾ ട്രാക്കുചെയ്യുക!","{अॅप} सह आपल्या खर्चाच्या सवयींचा मागोवा घ्या!","உங்கள் செலவு பழக்கத்தை {பயன்பாடு} உடன் கண்காணிக்கவும்!","మీ ఖర్చు అలవాట్లను {అనువర్తనం with తో ట్రాక్ చేయండి!","اپنے اخراجات کی عادات کو {ایپ} کے ساتھ ٹریک کریں!"
"onboarding-info-1","Enter your daily transactions to gain powerful insights into your spending habits.","अपनी खर्च करने की आदतों में शक्तिशाली अंतर्दृष्टि प्राप्त करने के लिए अपने दैनिक लेनदेन दर्ज करें।","আপনার ব্যয়ের অভ্যাসগুলিতে শক্তিশালী অন্তর্দৃষ্টি পেতে আপনার প্রতিদিনের লেনদেন প্রবেশ করুন।","તમારી ખર્ચની ટેવમાં શક્તિશાળી આંતરદૃષ્ટિ મેળવવા માટે તમારા દૈનિક વ્યવહારો દાખલ કરો.","നിങ്ങളുടെ ചെലവ് ശീലങ്ങളിൽ ശക്തമായ ഉൾക്കാഴ്ചകൾ നേടുന്നതിന് നിങ്ങളുടെ ദൈനംദിന ഇടപാടുകൾ നൽകുക.","आपल्या खर्चाच्या सवयीबद्दल शक्तिशाली अंतर्दृष्टी मिळविण्यासाठी आपले दैनंदिन व्यवहार प्रविष्ट करा.","உங்கள் பரிவர்த்தனைகளை உல்லிடுவதின் மூலம் உங்களுடைய செலவுப் பழக்கத்தை ஆழ்ந்து அறியலாம்","మీ ఖర్చు అలవాట్లపై శక్తివంతమైన అంతర్దృష్టులను పొందడానికి మీ రోజువారీ లావాదేవీలను నమోదు చేయండి.","اپنے اخراجات کی عادات کے بارے میں طاقتور بصیرت حاصل کرنے کے لئے اپنے روزانہ کے لین دین میں داخل ہوں۔"
"onboarding-title-2","Create a budget","एक बजट स्थापित करें","একটি বাজেট সেট আপ","અંદાજપત્ર બનાવો","ഒരു ബജറ്റ് സജ്ജമാക്കുക","बजेट स्थापित करा","ஒரு பட்ஜெட்டை அமைக்க","బడ్జెట్‌ను సెటప్ చేయండి","ایک بجٹ مرتب کریں"
"onboarding-info-2-1","You can always edit this later.","आप इसे बाद में भी संपादित कर सकते हैं।","আপনি সর্বদা এটি পরে সম্পাদনা করতে পারেন।","તમે આને પછીથી પણ સંપાદિત કરી શકશો.","നിങ്ങൾക്ക് എല്ലായ്പ്പോഴും ഇത് പിന്നീട് എഡിറ്റുചെയ്യാനാകും.","आपण हे नंतर नेहमीच संपादित करू शकता.","இதை நீங்கள் எப்போதும் பின்னர் திருத்தலாம்.","మీరు దీన్ని ఎల్లప్పుడూ తరువాత సవరించవచ్చు.","آپ ہمیشہ بعد میں اس میں ترمیم کرسکتے ہیں۔"
"onboarding-title-3","Welcome to {app}!","{ऐप} में आपका स्वागत है!","{অ্যাপ} এ স্বাগতম!","{app} પર આપનું સ્વાગત છે!","{അപ്ലിക്കേഷനിലേക്ക് സ്വാഗതം!","{अॅप} मध्ये आपले स्वागत आहे!","{செயலி} க்கு வருக!","{అనువర్తనానికి స్వాగతం!","{ایپ} میں خوش آمدید!"
"sign-in-with-google","Sign In with Google","गूगल के साथ साइन इन करें","গুগলের সাথে সাইন ইন করুন","ગૂગલ સાથે પ્રવેશ કરો","Google ഉപയോഗിച്ച് പ്രവേശിക്കുക","Google सह साइन इन करा","Google உடன் உள்நுழைக","గూగుల్‌తో సైన్ ఇన్ చేయండి","گوگل کے ساتھ سائن ان کریں"
"onboarding-info-3","Keep your data backed up and synced with Google Drive.","अपने डेटा को बैकअप रखें और गूगल ड्राइव के साथ सिंक करें।","আপনার ডেটা ব্যাক আপ করুন এবং গুগল ড্রাইভের সাথে সিঙ্ক করুন।","તમારો ડેટા બેકઅપ રાખો અને ગૂગલ ડ્રાઇવ સાથે સમન્વયિત રાખો.","നിങ്ങളുടെ ഡാറ്റ ബാക്കപ്പ് ചെയ്ത് Google ഡ്രൈവ് ഉപയോഗിച്ച് സമന്വയിപ്പിക്കുക.","आपला डेटा बॅक अप घ्या आणि Google ड्राइव्हसह संकालित ठेवा.","உங்கள் தரவை காப்புப் பிரதி எடுத்து Google இயக்ககத்துடன் ஒத்திசைக்கவும்.","మీ డేటాను బ్యాకప్ చేసి గూగుల్ డ్రైవ్‌తో సమకాలీకరించండి.","اپنے ڈیٹا کو بیک اپ رکھیں اور گوگل ڈرائیو کے ساتھ ہم آہنگ کریں۔"
"continue-without-sign-in","Continue Without Sign In","साइन इन के बिना जारी रखें","সাইন ইন ছাড়াই চালিয়ে যান","પ્રવેશ કર્યા વિના ચાલુ રાખો","സൈൻ ഇൻ ചെയ്യാതെ തുടരുക","साइन इन केल्याशिवाय सुरू ठेवा","உள்நுழையாமல் தொடரவும்","సైన్ ఇన్ లేకుండా కొనసాగించండి","سائن ان کے بغیر جاری رکھیں"
"login","Login","लॉग इन करें","প্রবেশ করুন","પ્રવેશ કરો","ലോഗിൻ","लॉगिन","உள்நுழைய","ప్రవేశించండి","لاگ ان کریں"
"settings","Settings","सेटिंग्स","সেটিংস","સેટિંગ્સ","ക്രമീകരണങ്ങൾ","सेटिंग्ज","அமைப்புகள்","సెట్టింగులు","ترتیبات"
"about","About","बारे में","সম্পর্কিত","અમારા વિશે","കുറിച്ച്","बद्दल","பற்றி","గురించి","کے بارے میں"
"about-app","About {app}","{ऐप} के बारे में","সম্পর্কে {অ্যাপ্লিকেশন}","વિશે {app}","{അപ്ലിക്കേഷനെക്കുറിച്ച്}","बद्दल {अॅप}","{பயன்பாடு} பற்றி","{అనువర్తనం} గురించి","کے بارے میں {ایپ}"
"share-feedback","Share Feedback","प्रतिक्रिया साझा करें ","প্রতিক্রিয়া ভাগ করুন","અભિપ્રાય વ્યક્ત કરો","ഫീഡ്ബാക്ക് പങ്കിടുക","अभिप्राय सामायिक करा","கருத்தை பகிரவும்","అభిప్రాయాన్ని పంచుకోండి","رائے شیئر کریں"
"theme","Theme","थीम","থিম","દેખાવ ","പതിപാദം","थीम","தீம்","థీమ్","خیالیہ"
"accent-color","Accent Color","विशेष रंग","সুরের ধাপের রঙ","દેખાવનો રંગ","ആക്സന്റ് നിറം","उच्चारण रंग","உச்சரிப்பு நிறம்","యాస రంగు","لہجہ رنگ"
"accent-color-description","Select a color theme for the interface","इंटरफ़ेस के लिए एक रंग का चयन करें","ইন্টারফেসের জন্য একটি রঙ থিম নির্বাচন করুন","ઇન્ટરફેસ માટે રંગ થીમ પસંદ કરો","ഇന്റർഫേസിനായി ഒരു കളർ തീം തിരഞ്ഞെടുക്കുക","इंटरफेससाठी रंग थीम निवडा","இடைமுகத்திற்கான வண்ண தீம் தேர்ந்தெடுக்கவும்","ఇంటర్ఫేస్ కోసం రంగు థీమ్‌ను ఎంచుకోండి","انٹرفیس کے لئے رنگین تھیم منتخب کریں"
"material-you","Material You","मटेरियल यू डिज़ाइन","Material You","Material You","Material You","Material You","Material You","Material You","Material You"
"material-you-description","Use a colorful expressive interface","एक रंगीन अभिव्यंजक इंटरफ़ेस का उपयोग करें","একটি রঙিন অভিব্যক্তিপূর্ণ ইন্টারফেস ব্যবহার করুন","રંગબેરંગી અર્થસભર ઇન્ટરફેસનો ઉપયોગ કરો","വർണ്ണാഭമായ പ്രകടന ഇന്റർഫേസ് ഉപയോഗിക്കുക","रंगीबेरंगी अर्थपूर्ण इंटरफेस वापरा","வண்ணமயமான வெளிப்படையான இடைமுகத்தைப் பயன்படுத்தவும்","రంగురంగుల వ్యక్తీకరణ ఇంటర్ఫేస్ ఉపయోగించండి","رنگین اظہار خیال انٹرفیس استعمال کریں"
"theme-mode","Theme Mode","थीम मोड","থিম মোড","દેખાવ પધ્ધતિ","തീം മോഡ്","थीम मोड","தீம் பயன்முறை","థీమ్ మోడ్","تھیم موڈ"
"preferences","Preferences","पसंद","পছন্দসমূহ","પસંદગી","മുൻഗണനകൾ","प्राधान्ये","விருப்பத்தேர்வுகள்","ప్రాధాన్యతలు","ترجیحات"
"language","Language","भाषा","ভাষা","ભાષા","ഭാഷ","इंग्रजी","மொழி","భాష","زبان"
"username","Username","उपयोगकर्ता नाम","ব্যবহারকারীর নাম","વપરાશકર્તાનુ નામ","ഉപയോക്തൃനാമം","वापरकर्तानाव","பயனர்பெயர்","వినియోగదారు పేరు","صارف نام"
"battery-saver","Battery Saver","बैटरी बचाएं ","ব্যাটারি সেভার","બેટરીની બચત કરનાર","ബാറ്ററി സേവർ","बॅटरी सेव्हर","பேட்டரி சேமிப்பு","బ్యాటరీ సేవర్","بیٹری سیور"
"battery-saver-description","Optimize the UI to increase performance and save battery","प्रदर्शन बढ़ाने और बैटरी को बचाने के लिए यूआई का अनुकूलन करें","কর্মক্ষমতা বাড়াতে এবং ব্যাটারি সংরক্ষণ করতে ইউআই অনুকূলিত করুন","કાર્યક્ષમતા વધારવા અને બેટરી સાચવવા માટે UI ને અનુકુલિત કરો","പ്രകടനം വർദ്ധിപ്പിക്കുന്നതിനും ബാറ്ററി സംരക്ഷിക്കുന്നതിനും യുഐ ഒപ്റ്റിമൈസ് ചെയ്യുക","कार्यप्रदर्शन वाढविण्यासाठी आणि बॅटरी जतन करण्यासाठी यूआयला ऑप्टिमाइझ करा","செயல்திறனை அதிகரிக்கவும் பேட்டரியைச் சேமிக்கவும் UI ஐ மேம்படுத்தவும்","పనితీరును పెంచడానికి మరియు బ్యాటరీని సేవ్ చేయడానికి UI ని ఆప్టిమైజ్ చేయండి","کارکردگی بڑھانے اور بیٹری کو بچانے کے لئے UI کو بہتر بنائیں"
"verify-identity","Please verify your identity.","अपनी पहचान सत्यापित करें।","আপনার পরিচয় যাচাই করুন.","મહેરબાની કરીને તમારી ઓળખ ચકાસો.","നിങ്ങളുടെ ഐഡന്റിറ്റി പരിശോധിക്കുക.","आपली ओळख सत्यापित करा.","தயவுசெய்து உங்கள் அடையாளத்தை உறுதிப்படுத்தவும்.","దయచేసి మీ గుర్తింపు ని ధృవీకరించండి.","براہ کرم اپنی شناخت کی تصدیق کریں۔"
"automation","Automation","स्वचालन","অটোমেশন","સ્વચાલિતતા","യന്തവല്ക്കരണം","ऑटोमेशन","தானியங்கு","ఆటోమేషన్","آٹومیشن"
"auto-email-transactions","Auto Email Transactions","ऑटो ईमेल लेनदेन","অটো ইমেল লেনদেন","આપોઆપ વ્યવહારનો ઇમેઇલ કરો","യാന്ത്രിക ഇമെയിൽ ഇടപാടുകൾ","वाहन ईमेल व्यवहार","ஆட்டோ மின்னஞ்சல் பரிவர்த்தனைகள்","ఆటో ఇమెయిల్ లావాదేవీలు","آٹو ای میل لین دین"
"pay-subscriptions","Pay Subscriptions","सदस्यताओं का भुगतान करें","সাবস্ক্রিপশন প্রদান করুন","લવાજમ ચૂકવો","സബ്സ്ക്രിപ്ഷനുകൾ നൽകുക","सदस्यता द्या","சந்தாக்களை செலுத்துங்கள்","చెల్లింపు చందాలు","سبسکرپشن ادا کریں"
